dataset,corruption,fold,val_score,test_score
1049,ftt,10,0.8928634281205116,0.918757758564366
1049,ftt,11,0.9074272635916473,0.8778803841861488
1049,ftt,12,0.9196475710903836,0.9210494543765962
1049,ftt,13,0.9212654924983691,0.8916770114191547
1049,ftt,14,0.9133034773445734,0.8899589091887994
1049,ftt,15,0.8789433446967694,0.9129515353479157
1049,ftt,16,0.884906824632852,0.8789433446967694
1049,ftt,17,0.9196475710903836,0.8944488057363719
1049,ftt,18,0.8687758208306153,0.8988540569020023
1049,ftt,19,0.9133034773445734,0.9046310546302927
1049,ftt,20,0.9074272635916473,0.9030743490536441
1049,ftt,21,0.9212654924983691,0.9098601201580787
1049,ftt,22,0.9375954678017469,0.8916770114191547
1049,ftt,23,0.9074272635916473,0.907229161547208
1049,ftt,24,0.8767123287671232,0.8844046364594308
1049,ftt,25,0.8767738956441434,0.923727793979913
1049,ftt,26,0.966149066068486,0.8944588907058413
1049,ftt,27,0.9355772994129159,0.910958904109589
1049,ftt,28,0.8765020106676535,0.8946367333170923
1049,ftt,29,0.9178082191780822,0.9001695636473404
1050,ftt,0,0.8873918014045402,0.8865213061698685
1050,ftt,1,0.8498696191168299,0.8618160060510955
1050,ftt,2,0.8608672366634148,0.87785457880373
1050,ftt,3,0.8608672366634148,0.865814696485623
1050,ftt,4,0.8920885850036883,0.8685148808617894
1050,ftt,5,0.8532952034316911,0.875505116334211
1050,ftt,6,0.8906947277510411,0.8768513503537327
1050,ftt,7,0.8738785320204323,0.8708414737858277
1050,ftt,8,0.8570623362898231,0.8640367024872718
1050,ftt,9,0.9075045014317329,0.8683961962391388
1050,ftt,10,0.8678234131341972,0.8676081905315131
1050,ftt,11,0.8466833944540951,0.8545630798026963
1050,ftt,12,0.8570623362898231,0.8702795527156549
1050,ftt,13,0.8498696191168299,0.8922560230339711
1050,ftt,14,0.8738785320204323,0.88572608503603
1050,ftt,15,0.8971959879932645,0.8699004559932958
1050,ftt,16,0.8498696191168299,0.8753397826880256
1050,ftt,17,0.8498696191168299,0.8707743800395557
1050,ftt,18,0.8825097005637309,0.8640367024872718
1050,ftt,19,0.8872431602177767,0.8773014144397334
1050,ftt,20,0.8872431602177767,0.8546068595038093
1050,ftt,21,0.8812292900464899,0.8706566316311499
1050,ftt,22,0.8612567521475992,0.8635541367734565
1050,ftt,23,0.8678234131341972,0.8889394136528133
1050,ftt,24,0.88263700350076,0.8843770768774972
1050,ftt,25,0.8766726685756439,0.8420754354869664
1050,ftt,26,0.902277405522073,0.8465352400354557
1050,ftt,27,0.8766726685756439,0.8662693357456626
1050,ftt,28,0.8722089149134803,0.8530763950463242
1050,ftt,29,0.8695957363837252,0.8503703347826435
1063,ftt,0,0.7946445587955022,0.7775893221425655
1063,ftt,1,0.9608161474330847,0.809322974472808
1063,ftt,2,0.8357156470364017,0.8255102040816326
1063,ftt,3,0.8099864071131951,0.8417927170868349
1063,ftt,4,0.9423814808942444,0.786734693877551
1063,ftt,5,0.7796245142562854,0.7584217687074829
1063,ftt,6,0.8522116499769294,0.8174852951903501
1063,ftt,7,0.8040807371654235,0.786734693877551
1063,ftt,8,0.9423814808942444,0.8016161616161617
1063,ftt,9,0.7306521840910155,0.7851273238556475
1063,ftt,10,0.8271444426827335,0.8220168067226891
1063,ftt,11,0.8197103037359176,0.8255102040816326
1063,ftt,12,0.9608161474330847,0.7748826533066683
1063,ftt,13,0.8824484422992541,0.7673469387755103
1063,ftt,14,0.8522116499769294,0.7598490726188817
1063,ftt,15,0.8767867352773013,0.7982732209998609
1063,ftt,16,0.8767867352773013,0.792738551359241
1063,ftt,17,0.8693396226415094,0.8500739027054817
1063,ftt,18,0.8655567887532372,0.7859274867759399
1063,ftt,19,0.7395815498407698,0.7978084746750597
1063,ftt,20,0.9178578235182008,0.7808571428571428
1063,ftt,21,0.8490566037735849,0.8174852951903501
1063,ftt,22,0.8597746806834914,0.7851273238556475
1063,ftt,23,0.870000098836692,0.8174852951903501
1063,ftt,24,0.8040807371654235,0.8285714285714286
1063,ftt,25,0.8432645897323388,0.7562541029136999
1063,ftt,26,0.8099864071131951,0.8174852951903501
1063,ftt,27,0.7887320966122298,0.8174852951903501
1063,ftt,28,0.7887320966122298,0.81009361009361
1063,ftt,29,0.8767867352773013,0.8417927170868349
1067,ftt,0,0.8286866330860277,0.8319523103348633
1067,ftt,1,0.8042132949554601,0.8549910503178441
1067,ftt,2,0.8306925744549325,0.8108827716027329
1067,ftt,3,0.7949768173247068,0.8381654054620199
1067,ftt,4,0.8251657827247377,0.8320008444370386
1067,ftt,5,0.8081182510489233,0.8114642256535699
1067,ftt,6,0.8010507182729774,0.8239107964591513
1067,ftt,7,0.8457440255446466,0.798342772401836
1067,ftt,8,0.8042132949554601,0.8443805091512135
1067,ftt,9,0.8566382390957245,0.8460880117913767
1067,ftt,10,0.819405412751928,0.8189505372044796
1067,ftt,11,0.8251657827247377,0.8326339735122379
1067,ftt,12,0.8042132949554601,0.8664207426683663
1067,ftt,13,0.7720366963535131,0.8288710557138232
1067,ftt,14,0.7949768173247068,0.8296036248036396
1067,ftt,15,0.8572630979203895,0.8442090283918992
1067,ftt,16,0.8419797361579369,0.8388371141155745
1067,ftt,17,0.8534243065699588,0.8308012281506396
1067,ftt,18,0.8125269280482552,0.8356354787749071
1067,ftt,19,0.8736233884718289,0.8223495852111411
1067,ftt,20,0.8345825835719897,0.8275531606832606
1067,ftt,21,0.8571703940228209,0.8166520357020652
1067,ftt,22,0.8228912885882981,0.8057893446641609
1067,ftt,23,0.8674585909260759,0.8166520357020652
1067,ftt,24,0.829972195621152,0.8325112208391738
1067,ftt,25,0.8596050133883114,0.8127094964316237
1067,ftt,26,0.8416982510955552,0.8277827843386795
1067,ftt,27,0.8532668978609415,0.8252538106270454
1067,ftt,28,0.827106046855568,0.839340560529146
1067,ftt,29,0.8650949012065848,0.8293205584239115
1068,ftt,0,0.9233516152947432,0.9115839555937355
1068,ftt,1,0.8932390334259492,0.9062468494319283
1068,ftt,2,0.9233516152947432,0.9212559039622146
1068,ftt,3,0.8932390334259492,0.9130419160331915
1068,ftt,4,0.9101453311979628,0.9395752895752896
