,dataset,corruption,fold,val_score,test_score,Unnamed: 0
47,1480,ftt,17,0.7123018042646255,0.5999842347668435,
48,1480,ftt,18,0.6592504547573861,0.6068376068376068,
49,1480,ftt,19,0.6951188279408191,0.6431869535317812,
50,1480,ftt,20,0.5837288135593218,0.6896802489417141,
51,1480,ftt,21,0.7309872011242523,0.6680720245937639,
52,1480,ftt,22,0.7225843836013328,0.6875316183187954,
53,1480,ftt,23,0.6116181370418659,0.7211664152840623,
54,1480,ftt,24,0.6723970944309926,0.672906208343969,
55,1480,ftt,25,0.702890217001942,0.6970560303893637,
56,1480,ftt,26,0.6884183541553205,0.6448607394191695,
57,1480,ftt,27,0.5995964487489912,0.6299170946582799,
58,1480,ftt,28,0.6084264935689386,0.7252006761151081,
59,1480,ftt,29,0.6419876355224948,0.5986832986832987,
60,3,ftt,0,1.0,0.998437389146172,
61,3,ftt,1,1.0,0.9968745412282848,
62,3,ftt,2,0.99374804197995,0.9968753973843552,
63,3,ftt,3,1.0,0.996875,
64,3,ftt,4,1.0,0.9968753973843552,
65,3,ftt,5,0.9968745412282848,0.9937507947687102,
66,3,ftt,6,0.99374804197995,0.9984376031804651,
67,3,ftt,7,0.9968753973843552,0.9953128095413956,
68,3,ftt,8,1.0,0.996875,
69,3,ftt,9,0.99374804197995,0.996875,
70,3,ftt,10,1.0,1.0,
71,3,ftt,11,0.99375,0.9968753973843552,
72,3,ftt,12,1.0,0.9953133596185586,
73,3,ftt,13,0.9906236236848543,0.996875,
74,3,ftt,14,1.0,0.9968745412282848,
75,3,ftt,15,0.9875,0.9968745412282848,
76,3,ftt,16,1.0,0.996875,
77,3,ftt,17,1.0,0.9953121674385152,
78,3,ftt,18,0.9843769869217752,0.9984376031804651,
79,3,ftt,19,0.99374804197995,0.9921857219942296,
80,3,ftt,20,1.0,0.9890617240232018,
81,3,ftt,21,0.9968745412282848,0.9953121674385152,
82,3,ftt,22,0.99375,0.9890645057766368,
83,3,ftt,23,1.0,1.0,
84,3,ftt,24,0.9968745412282848,0.9984376031804651,
85,3,ftt,25,0.9937514669065872,1.0,
