,dataset,corruption,npairs,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
110,23,scarf,64,20,0.5294456085029287,0.5207495384943306,0.4345104593470643,0.46769368791433313,0.459631954741657,0.008867608176337348
111,23,scarf,64,21,0.46640889275599084,0.4924838758062097,0.4540274172985987,0.47206658809700147,0.4449155445086201,0.008817169401380751
112,23,scarf,64,22,0.5884389942004709,0.5623956758872014,0.4664347577053207,0.45541393095567617,0.4276983194417172,0.008684302133227151
113,23,scarf,64,23,0.5473807777006273,0.5299455048618541,0.44903227649882965,0.4515631501567311,0.43143600987125297,0.008752145464458162
114,23,scarf,64,24,0.5011857084114888,0.5438379353175367,0.4636305883527621,0.5264425037121377,0.47741351530321596,0.008665656286572654
115,23,scarf,64,25,0.5160645342168981,0.5689841531325344,0.5096905321293222,0.5102206004227462,0.4690554831232797,0.008620867653498574
116,23,scarf,64,26,0.48074118287949325,0.4961972796579504,0.4446469431393481,0.45018409956513816,0.45018724893299505,0.008586735195583768
117,23,scarf,64,27,0.48174650862933843,0.4718733983725217,0.44382369735894883,0.42002892060375385,0.44818673680833837,0.008450991577572294
118,23,scarf,64,28,0.5051566839361661,0.49438000157427525,0.4501169430775774,0.4684744695252722,0.49643104709981994,0.009236123826768663
119,23,scarf,64,29,0.47936525018399134,0.530225147968792,0.5096252526823201,0.490077394657272,0.4449164709805437,0.009020649724536471
120,23,scarf,128,0,0.5397877395849833,0.5380179405406051,0.5421767842189505,0.5146483729120701,0.4849711764636252,0.008738868766360812
121,23,scarf,128,1,0.5614731875442079,0.4979843199733041,0.520071507004587,0.509367369283127,0.4873700208049476,0.008951842182814473
122,23,scarf,128,2,0.5104166941920979,0.4867203034210632,0.49215198874458427,0.49484986116294516,0.47983419895084534,0.008593731456332736
123,23,scarf,128,3,0.5391749219339297,0.5668636189077926,0.49905589275059814,0.5184151167760305,0.5181122445723011,0.008972397557011357
124,23,scarf,128,4,0.5121242263940502,0.5594619219475807,0.5098540705600825,0.5190461833701925,0.4983962693952967,0.008695393432805568
125,23,scarf,128,5,0.5392917080042923,0.5765240783188756,0.5110641196687048,0.46548573168127005,0.44541586833701796,0.009110379219055175
126,23,scarf,128,6,0.48643793686326464,0.5605739395569904,0.5271867498104148,0.5233748825362992,0.5188614305333127,0.008834551881860804
127,23,scarf,128,7,0.5853795227205036,0.5584338728850022,0.543008404351234,0.5312922542448688,0.5193761838552069,0.009148799048529731
128,23,scarf,128,8,0.513724050758745,0.5080312824202636,0.45009184026170784,0.46374644445931523,0.4375528025311011,0.008899908217172774
129,23,scarf,128,9,0.5651927966101695,0.5546733640308654,0.53275524359789,0.4861357880055063,0.4847343880357882,0.008651976232175474
130,23,scarf,128,10,0.5108440455259451,0.5478646317129151,0.5153536198371504,0.508847186674868,0.5002795123401724,0.008789395108635042
131,23,scarf,128,11,0.5060671340806775,0.3944694327931134,0.46103792653688686,0.49899805027568517,0.43139959992357574,0.008833058086442358
132,23,scarf,128,12,0.5809258391560749,0.5650373803514381,0.5253958408462556,0.4994630738534171,0.4795841421996179,0.008709894286261665
133,23,scarf,128,13,0.4874003544218328,0.42997781982383054,0.44348096437248086,0.47929499251533153,0.49303260419182726,0.008799509568647905
134,23,scarf,128,14,0.5561312501192941,0.5307897385979783,0.4925019228030196,0.5214798900152715,0.469904393250404,0.009185151921378242
135,23,scarf,128,15,0.4909337577379504,0.4911287148924588,0.4810337360924739,0.4644297531323311,0.4625743046142048,0.008704890145195855
136,23,scarf,128,16,0.5536014201962638,0.4986924131643994,0.4998608639325272,0.5390362365723073,0.5205969044079972,0.008510152498881022
137,23,scarf,128,17,0.5176551248550321,0.5336109278301273,0.5543043353940506,0.475258228522007,0.49825999930471526,0.008411762449476454
138,23,scarf,128,18,0.5491864344254985,0.548040302773765,0.5163166876834686,0.4566924732034427,0.4504971899951244,0.008818853784490514
139,23,scarf,128,19,0.560311172911421,0.5945291283771688,0.5649261643757965,0.46945398390480536,0.4538250333257813,0.00925687759641617
140,23,scarf,128,20,0.5363312275936442,0.5241508548460981,0.5057163617022287,0.4928254445242308,0.47890599359366437,0.008940581922177915
141,23,scarf,128,21,0.5278363254198573,0.5138036765186768,0.4815497433911452,0.44846731607503076,0.4049401221632608,0.008560925722122192
142,23,scarf,128,22,0.6095028503739683,0.5310263781247845,0.4972831365804106,0.5109968389491854,0.4845442623358381,0.008721362976800828
143,23,scarf,128,23,0.5550834578601007,0.510815798751482,0.48951431710023174,0.5021700718421005,0.4859128373095966,0.008665694130791558
144,23,scarf,128,24,0.5259343092903423,0.49396092026949456,0.511186440677966,0.5102872054066068,0.48323136052244375,0.008767742099183979
145,23,scarf,128,25,0.5767518715474996,0.5631486588777358,0.5334926253365672,0.5513210925121981,0.5819308040700529,0.008316871854994032
146,23,scarf,128,26,0.45143838805628916,0.504144668340077,0.49287257886640495,0.5049719683205988,0.45924237357547454,0.008759874286073627
147,23,scarf,128,27,0.5050996712013661,0.4918968572794074,0.46706694790276554,0.481988728433273,0.4498933647385084,0.008469945854610868
148,23,scarf,128,28,0.5576315939433247,0.5279874512128973,0.4758584938136606,0.47239869167852006,0.4726591001476564,0.009083595540788438
149,23,scarf,128,29,0.5159460956684863,0.5383324112520278,0.5241527986617458,0.5083718420211064,0.5003561990082166,0.008858037717414625
150,23,scarf,1,0,0.5803358643871654,0.5325667130864892,0.519729273070677,0.4551139691906865,0.4907345369848273,0.00882365486838601
151,23,scarf,1,1,0.581836632958268,0.5454750592411219,0.47532882717312913,0.5303015713637499,0.4672079938659543,0.008785915963443709
152,23,scarf,1,2,0.49601398716340056,0.46149986741286014,0.457917550824419,0.44321777107308474,0.44376271186440674,0.009199104611835783
153,23,scarf,1,3,0.5690840376440482,0.569590467434974,0.5426042730135183,0.5775319655069878,0.5148626524476893,0.008746347309630594
154,23,scarf,1,4,0.5614724648341651,0.5310633919120867,0.4512541047135369,0.49216647954481607,0.42295660466357005,0.00872091010764793
155,23,scarf,1,5,0.5371056625410602,0.566834377251022,0.518617683968274,0.49827632254750903,0.483020225794843,0.008523289362589519
156,23,scarf,1,6,0.5648428389882735,0.5440769227348131,0.44435713175022773,0.4942304451957779,0.4802653680034089,0.008754456484759296
157,23,scarf,1,7,0.5523596825598118,0.573166027308006,0.47634473936680527,0.5042788701119033,0.47315946688087995,0.009089348051283095
158,23,scarf,1,8,0.5074766142024254,0.5207273844749578,0.5108395484696636,0.5061973844850911,0.4253869070069263,0.008688275776212178
159,23,scarf,1,9,0.5689867664274444,0.5576679889409786,0.4437761407978528,0.5542288318198435,0.4993449909094502,0.00873957739935981
160,23,scarf,1,10,0.5479091753496969,0.5371630272511263,0.476275366094282,0.5063073936086477,0.5198315904998184,0.009118680600766782
161,23,scarf,1,11,0.5513847679338458,0.5349121832614686,0.4657642679637045,0.5182426711350081,0.45470741892467254,0.009183583436188874
162,23,scarf,1,12,0.561118615276477,0.5948580529242689,0.5040041687236028,0.5047849793058516,0.5418802686084545,0.008966770437028673
163,23,scarf,1,13,0.48903344798022397,0.5151716908454844,0.4758529596254204,0.47419148961472957,0.43845093731660645,0.00897753385849941
164,23,scarf,1,14,0.5572208062367157,0.5463361883625607,0.4423718171841571,0.5760356204027052,0.468628376955781,0.008715987205505371
165,23,scarf,1,15,0.4946105782644447,0.48535134781279043,0.4946724191702701,0.470341239694772,0.4559520633278889,0.009091752546804922
166,23,scarf,1,16,0.5144164375504974,0.5589381657879613,0.4932134909690298,0.540301901313603,0.42139943268951274,0.00885734482417031
167,23,scarf,1,17,0.5460580100211387,0.5476907203497924,0.493615829300326,0.5162440599727042,0.5011614693375328,0.00897869196805087
168,23,scarf,1,18,0.5743927640481521,0.5575298563869993,0.45563685241094026,0.49044070120386546,0.4692474260424954,0.009080413788084
169,23,scarf,1,19,0.5619295683437171,0.5544587236635914,0.45941614975554773,0.5674332881340893,0.5108723266432893,0.008992232216729058
