,dataset,corruption,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
98,1049,scarf,8,0.8966836263542327,0,0,0,0,0.013081955058234078
99,1049,scarf,9,0.9030743490536441,0,0,0,0,0.013497314850489299
100,1049,scarf,10,0.9074272635916473,0,0,0,0,0.013409025967121124
101,1049,scarf,11,0.9013975225002739,0,0,0,0,0.012287581960360209
102,1049,scarf,12,0.9013975225002739,0,0,0,0,0.00950171301762263
103,1049,scarf,13,0.8807068911429469,0,0,0,0,0.011745665222406387
104,1049,scarf,14,0.9013975225002739,0,0,0,0,0.013423347473144531
105,1049,scarf,15,0.9263436068328518,0,0,0,0,0.00965473868630149
106,1049,scarf,16,0.9074272635916473,0,0,0,0,0.012672272821267446
107,1049,scarf,17,0.9016609510959528,0,0,0,0,0.010624534553951688
108,1049,scarf,18,0.8869320388806626,0,0,0,0,0.015577513724565506
109,1049,scarf,19,0.8956185297500784,0,0,0,0,0.012598564227422079
110,1049,scarf,20,0.8960069518466857,0,0,0,0,0.012392520904541016
111,1049,scarf,21,0.910958904109589,0,0,0,0,0.015703484416007996
112,1049,scarf,22,0.8927747165101062,0,0,0,0,0.011709362268447876
113,1049,scarf,23,0.8753370297890847,0,0,0,0,0.01116667091846466
114,1049,scarf,24,0.8816630831358839,0,0,0,0,0.011339595913887024
115,1049,scarf,25,0.9293086094141076,0,0,0,0,0.012520462274551392
116,1049,scarf,26,0.910958904109589,0,0,0,0,0.011948862671852111
117,1049,scarf,27,0.8960069518466857,0,0,0,0,0.015668373554944992
118,1049,scarf,28,0.8859317880528662,0,0,0,0,0.012528769671916962
119,1049,scarf,29,0.8881627104465126,0,0,0,0,0.011065940062204996
120,1067,pass,0,0.8488440468935645,0,0,0,0,0.01163454536806073
121,1067,pass,1,0.8395393768276697,0,0,0,0,0.01244952108549035
122,1067,pass,2,0.8290860444951241,0,0,0,0,0.013062848647435506
123,1067,pass,3,0.8519743701206216,0,0,0,0,0.010489453872044882
124,1067,pass,4,0.8340047393364929,0,0,0,0,0.013209554884168837
125,1067,pass,5,0.8122817171741814,0,0,0,0,0.011160250657644028
126,1067,pass,6,0.8394829618560289,0,0,0,0,0.010567257217332428
127,1067,pass,7,0.8412088697657577,0,0,0,0,0.012844951529251901
128,1067,pass,8,0.8319435279060933,0,0,0,0,0.011064791844950782
129,1067,pass,9,0.8313890237118047,0,0,0,0,0.013109144237306383
130,1067,pass,10,0.8338507850790473,0,0,0,0,0.013050479548318046
131,1067,pass,11,0.8481734926951516,0,0,0,0,0.013134029873630456
132,1067,pass,12,0.8430677252922184,0,0,0,0,0.010319143533706665
133,1067,pass,13,0.8248587166395739,0,0,0,0,0.01347644329071045
134,1067,pass,14,0.8322448097951302,0,0,0,0,0.011257786904611895
135,1067,pass,15,0.837647309626421,0,0,0,0,0.011339966897611265
136,1067,pass,16,0.8147071432277185,0,0,0,0,0.012606411510043674
137,1067,pass,17,0.8321999799516508,0,0,0,0,0.011418319883800689
138,1067,pass,18,0.8180576643380526,0,0,0,0,0.013080387834518675
139,1067,pass,19,0.8189872542964703,0,0,0,0,0.011388686175147692
140,1067,pass,20,0.8565333429077505,0,0,0,0,0.013046169892335549
141,1067,pass,21,0.8372966568464197,0,0,0,0,0.01185110674964057
142,1067,pass,22,0.7997942130207034,0,0,0,0,0.012530787785847982
143,1067,pass,23,0.8468315005629209,0,0,0,0,0.012460221846898397
144,1067,pass,24,0.7965219385415074,0,0,0,0,0.012912819782892862
145,1067,pass,25,0.808912368701166,0,0,0,0,0.011650842778822956
146,1067,pass,26,0.8194609004739338,0,0,0,0,0.012938352192149442
147,1067,pass,27,0.8246911675224453,0,0,0,0,0.011466180994397118
148,1067,pass,28,0.8338507850790473,0,0,0,0,0.01639874279499054
