dataset,corruption,fold,val_score,test_score
1050,tabnet,14,0.9235669,0.8526740145409789
1050,tabnet,15,0.9490446,0.8730489487795488
1050,tabnet,16,0.9299363,0.8868880256357445
1050,tabnet,17,0.9235669,0.872915209157709
1050,tabnet,18,0.9299363,0.8751912711188101
1050,tabnet,19,0.93630576,0.8703698424776136
1050,tabnet,20,0.9299363,0.8707743800395557
1050,tabnet,21,0.9299363,0.8550292276168445
1050,tabnet,22,0.9299363,0.8395232028947953
1050,tabnet,23,0.9235669,0.857404346511041
1050,tabnet,24,0.9299363,0.902229013974151
1050,tabnet,25,0.93630576,0.8571716832016142
1050,tabnet,26,0.9235669,0.8610103697565126
1050,tabnet,27,0.93630576,0.8791961470380889
1050,tabnet,28,0.9235669,0.8231649411067604
1050,tabnet,29,0.9299363,0.8426904979297768
1067,tabnet,0,0.89099526,0.830171707898067
1067,tabnet,1,0.8815166,0.8231730851681509
1067,tabnet,2,0.89099526,0.8338507850790473
1067,tabnet,3,0.8957346,0.828473126953716
1067,tabnet,4,0.8862559,0.8229400020167389
1067,tabnet,5,0.8672986,0.8169542547481031
1067,tabnet,6,0.8672986,0.8367536728967244
1067,tabnet,7,0.8862559,0.8106968138295957
1067,tabnet,8,0.8815166,0.8386158989402709
1067,tabnet,9,0.9099526,0.828206195300417
1067,tabnet,10,0.8862559,0.8105989788009532
1067,tabnet,11,0.89099526,0.8321999799516508
1067,tabnet,12,0.87677723,0.8536723519871822
1067,tabnet,13,0.8720379,0.8358735458853942
1067,tabnet,14,0.89099526,0.8246911675224453
1067,tabnet,15,0.8957346,0.8241064117515696
1067,tabnet,16,0.90047395,0.8211966999484804
1067,tabnet,17,0.8957346,0.7959948206720555
1067,tabnet,18,0.8720379,0.8091851602484864
1067,tabnet,19,0.9146919,0.8358261195883258
1067,tabnet,20,0.8862559,0.8303868091097657
1067,tabnet,21,0.90047395,0.8243005748481443
1067,tabnet,22,0.8815166,0.8106240126382306
1067,tabnet,23,0.8862559,0.8264505723592778
1067,tabnet,24,0.90047395,0.8161978006755051
1067,tabnet,25,0.90047395,0.8139900186701133
1067,tabnet,26,0.9052133,0.8340547414654955
1067,tabnet,27,0.8862559,0.8375108858887508
1067,tabnet,28,0.89099526,0.8338507850790473
1067,tabnet,29,0.90047395,0.83516114507254
1068,tabnet,0,0.963964,0.903163379935996
1068,tabnet,1,0.9459459,0.9063665097077983
1068,tabnet,2,0.972973,0.9212559039622146
1068,tabnet,3,0.954955,0.9124070884888814
1068,tabnet,4,0.972973,0.9069089694089693
1068,tabnet,5,0.9369369,0.8828828828828829
1068,tabnet,6,0.954955,0.9168041280717336
1068,tabnet,7,0.9459459,0.9107598164201938
1068,tabnet,8,0.954955,0.9022475106685633
1068,tabnet,9,0.954955,0.8861414606095457
1068,tabnet,10,0.9369369,0.9022475106685633
1068,tabnet,11,0.954955,0.9219148393676696
1068,tabnet,12,0.954955,0.9124070884888814
1068,tabnet,13,0.9369369,0.9093599239584642
1068,tabnet,14,0.954955,0.9078288014458227
1068,tabnet,15,0.954955,0.9155070624264936
1068,tabnet,16,0.963964,0.9078288014458227
1068,tabnet,17,0.972973,0.9383988304851614
1068,tabnet,18,0.9459459,0.9227121369019542
1068,tabnet,19,0.954955,0.9004904184760301
1068,tabnet,20,0.954955,0.9049190035105528
1068,tabnet,21,0.981982,0.8721547946799021
1068,tabnet,22,0.981982,0.9260788234535251
1068,tabnet,23,0.963964,0.9260788234535251
1068,tabnet,24,0.972973,0.9078288014458227
1068,tabnet,25,0.9369369,0.9063665097077983
1068,tabnet,26,0.963964,0.9063665097077983
1068,tabnet,27,0.963964,0.8975998663498665
1068,tabnet,28,0.963964,0.9155070624264936
1068,tabnet,29,0.954955,0.9076263203553462
1464,tabnet,0,0.84,0.7174301978856059
1464,tabnet,1,0.85333335,0.7005679513184584
1464,tabnet,2,0.82666665,0.6933050847457627
1464,tabnet,3,0.88,0.7225406406475066
1464,tabnet,4,0.84,0.7993333333333333
1464,tabnet,5,0.7733333,0.6908444444444445
1464,tabnet,6,0.81333333,0.7495727460944853
1464,tabnet,7,0.82666665,0.7412081346931385
1464,tabnet,8,0.82666665,0.7495727460944853
1464,tabnet,9,0.82666665,0.7824954792043399
1464,tabnet,10,0.88,0.7472536746606654
