dataset,corruption,fold,test_score
40975,NPT,8,1.0
40975,NPT,9,1.0
40975,NPT,10,1.0
40975,NPT,11,1.0
40975,NPT,12,1.0
40975,NPT,13,1.0
40975,NPT,14,0.9971414162126814
40975,NPT,15,1.0
40975,NPT,16,0.9856501292946842
40975,NPT,17,0.9971158349595866
40975,NPT,18,0.9912165304630922
40975,NPT,19,0.9943017967216647
40975,NPT,20,1.0
40975,NPT,21,0.9716961224944254
40975,NPT,22,0.9971508990643932
40975,NPT,23,0.9970717616983341
40975,NPT,24,0.9971464761745549
40975,NPT,25,0.9970619892365956
40975,NPT,26,0.9912907359128149
40975,NPT,27,0.9943826986235738
40975,NPT,28,0.9855300935974473
40975,NPT,29,0.997102349649445
40982,NPT,0,0.7597008750792164
40982,NPT,1,0.7439455978168775
40982,NPT,2,0.7840603684347159
40982,NPT,3,0.7253934804199639
40982,NPT,4,0.7430640457659106
40982,NPT,5,0.7657604873853787
40982,NPT,6,0.7800975735579802
40982,NPT,7,0.728601708349881
40982,NPT,8,0.7692574602854443
40982,NPT,9,0.7617903732435227
40982,NPT,10,0.7359095026413047
40982,NPT,11,0.7677664125617485
40982,NPT,12,0.7374278081917827
40982,NPT,13,0.757796686001972
40982,NPT,14,0.7619814573172701
40982,NPT,15,0.7570533620816406
40982,NPT,16,0.7669673038772578
40982,NPT,17,0.7953457927751431
40982,NPT,18,0.7685353235027412
40982,NPT,19,0.7642226196071474
40982,NPT,20,0.7308354252974272
40982,NPT,21,0.7508963752878185
40982,NPT,22,0.7181975933836303
40982,NPT,23,0.7615770956529861
40982,NPT,24,0.7321287173285892
40982,NPT,25,0.7352644904164845
40982,NPT,26,0.7608836788620054
40982,NPT,27,0.7496883170832861
40982,NPT,28,0.7596505551004266
40982,NPT,29,0.7858756096822143
40701,NPT,0,0.9059286118980169
40701,NPT,1,0.9043508848913717
40701,NPT,2,0.9095478403844939
40701,NPT,3,0.9272049830124576
40701,NPT,4,0.9050877842955644
40701,NPT,5,0.9033273461515279
40701,NPT,6,0.9151980465284866
40701,NPT,7,0.9067578549492087
40701,NPT,8,0.9067181000037342
40701,NPT,9,0.9051622306626365
40701,NPT,10,0.9058246212121212
40701,NPT,11,0.9168534948863266
40701,NPT,12,0.9139810032327197
40701,NPT,13,0.9197209910936642
40701,NPT,14,0.9113589449541283
