dataset,corruption,npairs,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
1068,pass,loss=cluster-simclr-case2,9999,1,0.9194337194337197,0,0,0,0,0.0057707169453303
1068,pass,loss=cluster-simclr-case2,9999,2,0.9348362785862786,0,0,0,0,0.0056952722469965
1068,pass,loss=cluster-simclr-case2,9999,3,0.90990990990991,0,0,0,0,0.0057377113103866
1068,pass,loss=cluster-simclr-case2,9999,4,0.9348362785862786,0,0,0,0,0.0057124431530634
1068,pass,loss=cluster-simclr-case2,9999,5,0.9194446244805956,0,0,0,0,0.0057586932182312
1068,pass,loss=cluster-simclr-case2,9999,6,0.8979419941694409,0,0,0,0,0.0056177652279535
1068,pass,loss=cluster-simclr-case2,9999,7,0.8996047934727179,0,0,0,0,0.0057832904259363
1068,pass,loss=cluster-simclr-case2,9999,8,0.9295045045045044,0,0,0,0,0.0057054552634557
1068,pass,loss=cluster-simclr-case2,9999,9,0.8969851310276842,0,0,0,0,0.0049897504647572
1068,pass,loss=cluster-simclr-case2,9999,10,0.9162180724680724,0,0,0,0,0.0045173537333806
1068,pass,loss=cluster-simclr-case2,9999,11,0.9194337194337197,0,0,0,0,0.0046770994663238
1068,pass,loss=cluster-simclr-case2,9999,12,0.926068679623182,0,0,0,0,0.0046327988306681
1068,pass,loss=cluster-simclr-case2,9999,13,0.9212559039622146,0,0,0,0,0.0046420221726099
1068,pass,loss=cluster-simclr-case2,9999,14,0.909967521478313,0,0,0,0,0.0046105477809906
1068,pass,loss=cluster-simclr-case2,9999,15,0.9227121369019542,0,0,0,0,0.0046247689723968
1068,pass,loss=cluster-simclr-case2,9999,16,0.916222666580662,0,0,0,0,0.0047142386039098
1068,pass,loss=cluster-simclr-case2,9999,17,0.909967521478313,0,0,0,0,0.0045612742900848
1068,pass,loss=cluster-simclr-case2,9999,18,0.9289217274828786,0,0,0,0,0.0046495253245035
1068,pass,loss=cluster-simclr-case2,9999,19,0.9124070884888814,0,0,0,0,0.0046337589820226
1068,pass,loss=cluster-simclr-case2,9999,20,0.9125065599580164,0,0,0,0,0.0046883718967437
1068,pass,loss=cluster-simclr-case2,9999,21,0.90990990990991,0,0,0,0,0.0045775152842203
