,id,corruption,fold,test_score
24,54,gbt,24,0.7187979793570055
25,54,gbt,25,0.7306493111691469
26,54,gbt,26,0.6977622858737411
27,54,gbt,27,0.7254819675264176
28,54,gbt,28,0.7596682388449102
29,54,gbt,29,0.7358468926626097
0,151,gbt,0,0.9349683690180989
1,151,gbt,1,0.9336338425205275
2,151,gbt,2,0.9324726911618669
3,151,gbt,3,0.9345522206389258
4,151,gbt,4,0.933320568783898
5,151,gbt,5,0.935595337651178
6,151,gbt,6,0.9382165903810592
7,151,gbt,7,0.934942223486087
8,151,gbt,8,0.9369257122164895
9,151,gbt,9,0.9343690038458224
10,151,gbt,10,0.9362723961505177
11,151,gbt,11,0.9332370617401875
12,151,gbt,12,0.9364361739066317
13,151,gbt,13,0.9302418006395842
14,151,gbt,14,0.9392732753415012
15,151,gbt,15,0.9296377863794038
16,151,gbt,16,0.9336852871044535
17,151,gbt,17,0.9353864366574245
18,151,gbt,18,0.9337761819680112
19,151,gbt,19,0.9334081303704597
20,151,gbt,20,0.9305317407137368
21,151,gbt,21,0.933199398812012
22,151,gbt,22,0.9358585433429746
23,151,gbt,23,0.9294410217104785
24,151,gbt,24,0.9336093455954957
25,151,gbt,25,0.934143006045326
26,151,gbt,26,0.9359881089865819
27,151,gbt,27,0.9299030921089706
28,151,gbt,28,0.9343935949982318
29,151,gbt,29,0.9361771216416737
0,458,gbt,0,0.9822005962358249
1,458,gbt,1,0.9880805370771926
2,458,gbt,2,0.9822337724435627
3,458,gbt,3,0.9880477304448683
4,458,gbt,4,0.9881382894575169
5,458,gbt,5,0.9818047498790274
6,458,gbt,6,0.9940804879569156
7,458,gbt,7,0.9640625491802485
8,458,gbt,8,0.9821764401370842
9,458,gbt,9,0.9880680319675138
10,458,gbt,10,1.0
11,458,gbt,11,0.9706185427043865
12,458,gbt,12,0.9881885487236658
13,458,gbt,13,0.9822487055981908
14,458,gbt,14,0.9580269886743955
15,458,gbt,15,0.9821536615037232
16,458,gbt,16,0.9821305706815546
17,458,gbt,17,0.9569530894699464
18,458,gbt,18,0.9762250894903421
19,458,gbt,19,0.9940844063479187
20,458,gbt,20,0.982149306092968
21,458,gbt,21,0.9525667966865747
22,458,gbt,22,0.9525222090886394
23,458,gbt,23,0.9759074515993653
24,458,gbt,24,0.9762849540257172
25,458,gbt,25,0.976265062237913
26,458,gbt,26,0.970092671718474
27,458,gbt,27,0.9700901662440125
28,458,gbt,28,0.988184054707971
29,458,gbt,29,0.9762192078061248
0,469,gbt,0,0.20587369458653026
1,469,gbt,1,0.184832577936562
2,469,gbt,2,0.20500932609198327
3,469,gbt,3,0.2293964014833163
4,469,gbt,4,0.17401587600823784
5,469,gbt,5,0.1840570121702197
6,469,gbt,6,0.23717465045089767
7,469,gbt,7,0.16748679735051913
8,469,gbt,8,0.18945021718071925
9,469,gbt,9,0.18037013078646977
10,469,gbt,10,0.19991478537869023
11,469,gbt,11,0.21009437811812776
12,469,gbt,12,0.19770826370907496
13,469,gbt,13,0.24700745251987494
14,469,gbt,14,0.19201662464412897
15,469,gbt,15,0.18863040683886848
16,469,gbt,16,0.20446928140549359
17,469,gbt,17,0.1870518841088581
18,469,gbt,18,0.18259712221553953
19,469,gbt,19,0.16852176562994822
